Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,library
gs_ind_0,CDC42 GTPase Cycle,5/143,0.08178792899138876,0.5943879605960174,2.4463902654139664,6.124845329364347,TMPO;STARD8;FGD4;ARHGEF10;RAB7A,Module11,Reactome_Pathways_2024_Human
gs_ind_0,COPI-independent Golgi-to-ER Retrograde Traffic,1/46,0.5269965557502128,0.8717401359701435,2.0103175846556702,1.2877315771704672,BICD2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,COPII-mediated Vesicle Transport,1/67,0.6641826185973865,0.9350372325644057,1.3735509854064898,0.5620545074769348,TFG,Module11,Reactome_Pathways_2024_Human
gs_ind_0,CREB1 Phosphorylation Through NMDA Receptor-Mediated Activation of RAS Signaling,2/28,0.07437854126468656,0.5846436257914703,5.783655515684686,15.029336677538877,NEFL;ACTN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cardiac Conduction,10/121,2.6070183286538686e-05,0.0007961432895966045,5.934726343632382,62.63936474160051,ORAI1;FKBP1B;DMPK;STIM1;KCNE3;TNNI3;PLN;RYR1;SCN4A;CASQ1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cargo Recognition for Clathrin-Mediated Endocytosis,2/103,0.49671634371302076,0.8687065570663843,1.5024630541871922,1.0513277172818163,SLC18A3;SYT2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cation-coupled Chloride Cotransporters,1/7,0.10754440739747216,0.6434122784171518,14.108882970390098,31.460712791659123,SLC12A6,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cell Cycle,1/609,0.9999589621948957,0.9999989353154966,0.1446664446478687,5.93691518041401e-06,TMPO,Module11,Reactome_Pathways_2024_Human
gs_ind_0,"Cell Cycle, Mitotic",1/480,0.9996389506614778,0.9999989353154966,0.18522986223344498,6.688919511052233e-05,TMPO,Module11,Reactome_Pathways_2024_Human
gs_ind_0,"Cell Death Signalling via NRAGE, NRIF and NADE",4/76,0.03429638037107238,0.4125958487065375,3.82485602559545,12.90015104566501,FGD4;PLEKHG5;ARHGEF10;PSEN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cell Junction Organization,1/107,0.8253477023467212,0.9999989353154966,0.8553684633257795,0.16418842478755766,FLNC,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cell-Cell Communication,3/142,0.4019961650127489,0.8569553351151952,1.5328358099107255,1.3968927868441978,FLNC;ACTN3;ACTN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cell-extracellular Matrix Interactions,1/18,0.25373889766261887,0.7874301649368675,5.236601687518185,7.181734779855159,FLNC,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cellular Response to Chemical Stress,4/192,0.3743085394434166,0.8441052920180989,1.4596789630561404,1.4343898059174554,TXNRD2;SRXN1;NOX4;COX6A1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cellular Response to Heat Stress,4/98,0.07385327162520981,0.5846436257914703,2.930093274423171,7.634870705033224,BAG3;HSPB8;DNAJB6;CRYAB,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cellular Responses to Mechanical Stimuli,2/93,0.4437341304319841,0.8600645684078896,1.6677841474180608,1.3551241550324002,VCL;TRPV4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cellular Responses to Stimuli,11/819,0.7745966624290143,0.9609839843259957,0.8581131738547572,0.21917310619507027,VCL;DNAJB6;TXNRD2;HSPB8;SRXN1;NOX4;TRPV4;BAG3;GFPT1;COX6A1;CRYAB,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cellular Responses to Stress,9/724,0.8308002824455654,0.9999989353154966,0.7994689028651293,0.14819423033939372,DNAJB6;TXNRD2;HSPB8;SRXN1;NOX4;BAG3;GFPT1;COX6A1;CRYAB,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Choline Catabolism,1/5,0.07805066037014591,0.5846436257914703,20.382213170400544,51.98273881250738,DMGDH,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Class A 1 (Rhodopsin-like Receptors),1/244,0.9816363191914358,0.9999989353154966,0.3706762798128113,0.006870257354380969,KEL,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Class I MHC Mediated Antigen Processing & Presentation,5/355,0.6810778991254552,0.9487295647466867,0.9529155332665845,0.3659944544601913,KBTBD13;KLHL41;GAN;LRSAM1;TRIM32,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Class I Peroxisomal Membrane Protein Import,1/20,0.27763246143654813,0.8104418175758059,4.6988876703744324,6.021423066804366,GDAP1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Clathrin-mediated Endocytosis,4/143,0.19984163543581246,0.7414246286096497,1.9789158629863652,3.1865097868498866,DNM2;SLC18A3;SYT2;BIN1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Collagen Biosynthesis and Modifying Enzymes,3/61,0.07537871764436449,0.5846436257914703,3.6751259235858824,9.501046905617866,COLGALT2;COL13A1;COL6A3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Collagen Chain Trimerization,2/39,0.13023214422953072,0.6986778548530229,4.084117246080436,8.325214465973396,COL13A1;COL6A3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Collagen Degradation,2/61,0.2580111486517194,0.7874301649368675,2.5702428210548023,3.482042844162946,COL13A1;COL6A3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Collagen Formation,3/84,0.15381908129638214,0.722285468487102,2.6339174361623057,4.930635926169137,COLGALT2;COL13A1;COL6A3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Complex IV Assembly,1/43,0.503294471391239,0.8717401359701435,2.152653648017252,1.477968618711433,COX6A1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,1/58,0.6110593748858167,0.8918771023149604,1.5894979190649074,0.7829249196936048,PSEN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Constitutive Signaling by NOTCH1 PEST Domain Mutants,1/58,0.6110593748858167,0.8918771023149604,1.5894979190649074,0.7829249196936048,PSEN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Creatine Metabolism,1/10,0.15003224134200635,0.7176240941298376,9.651516775645836,18.308011063436417,CKM,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cytokine Signaling in Immune System,2/711,0.9999040673803499,0.9999989353154966,0.206177915551578,1.9780136348185123e-05,HNRNPDL;TRIM2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cytoprotection by HMOX1,1/56,0.598161538661132,0.8918771023149604,1.6469973028017835,0.8463827400856249,COX6A1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Cytosolic Sensors of Pathogen-Associated DNA,1/62,0.6356311171887599,0.9142954837823828,1.4857185435398141,0.6732338777535652,TRIM32,Module11,Reactome_Pathways_2024_Human
gs_ind_0,DNA Double-Strand Break Repair,1/134,0.8877736468915183,0.9999989353154966,0.681136868120552,0.08108149107229934,TDP1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,DNA Repair,1/286,0.9908321732515228,0.9999989353154966,0.31524712781021613,0.002903460692876531,TDP1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Death Receptor Signaling,4/155,0.2406575889623885,0.7731849811801131,1.820700214351332,2.5933692416218994,FGD4;PLEKHG5;ARHGEF10;PSEN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Degradation of the Extracellular Matrix,4/130,0.1583713134782949,0.722285468487102,2.184189723320158,4.025053037019245,COL13A1;COL6A3;CAPN3;CAPN6,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Depolymerization of the Nuclear Lamina,1/15,0.21641488759010882,0.7603248705599399,6.321300653135754,9.675116891555307,TMPO,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Detoxification of Reactive Oxygen Species,2/35,0.1089342376247715,0.6434122784171518,4.572993926075146,10.138377395152755,TXNRD2;NOX4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Deubiquitination,1/220,0.9727118443621738,0.9999989353154966,0.4118738662670669,0.011395475874177172,USP19,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Developmental Biology,16/1161,0.7783119439221566,0.9621683607641667,0.866782306696675,0.2172398110535606,DSG2;MYH14;PMP22;CACNA1S;PSEN2;NRCAM;PRX;MPZ;COL6A3;CNTNAP1;HOXC4;LAMA2;DNM2;EGR2;SCN4A;HINT1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Diseases Associated With Glycosylation Precursor Biosynthesis,4/15,7.820065534679182e-05,0.0020697106781784234,24.21165396683102,228.95102984756733,GFPT1;GNE;DOLK;DPM3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Diseases of Carbohydrate Metabolism,1/33,0.41541074371626274,0.8600645684078896,2.816888610371299,2.474601445301743,GAA,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Diseases of Glycosylation,4/142,0.19653943385694733,0.7414246286096497,1.9933380475641074,3.242946094836064,GNE;GFPT1;DOLK;DPM3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Diseases of Metabolism,5/258,0.4026462283319844,0.8569553351151952,1.3262564265908747,1.206491423398992,DOLK;GNE;DPM3;GAA;GFPT1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers,6/444,0.7249142138085982,0.953356950961012,0.8984868562975746,0.2890449799286223,DUSP8;TFG;PSEN2;VCL;TPM3;NOX4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Disorders of Transmembrane Transporters,2/163,0.742033495836153,0.953356950961012,0.9404737032042394,0.2806005750570912,SLC12A6;SLC5A7,Module11,Reactome_Pathways_2024_Human
gs_ind_0,ECM Proteoglycans,3/74,0.11710554734163518,0.664155747066131,3.0043078071825504,6.443277776784604,LAMA2;ITGA7;COL6A3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,EGR2 and SOX10-mediated Initiation of Schwann Cell Myelination,5/28,7.583470363856608e-05,0.0020697106781784234,14.529536143782213,137.84104886076295,PMP22;PRX;MPZ;LAMA2;EGR2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,EPH-Ephrin Signaling,2/88,0.41611248443234083,0.8600645684078896,1.7647788928685415,1.5473575332441423,MYH14;PSEN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,EPH-ephrin Mediated Repulsion of Cells,1/47,0.5346441960581618,0.873472205082676,1.966953551015045,1.2316154550052416,PSEN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,EPHA-mediated Growth Cone Collapse,1/25,0.334085332228262,0.8324689873678326,3.738684068332017,4.0989393018242835,MYH14,Module11,Reactome_Pathways_2024_Human
gs_ind_0,ER to Golgi Anterograde Transport,1/147,0.9093247341248744,0.9999989353154966,0.6201525062038189,0.0589473594832794,TFG,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Early SARS-CoV-2 Infection Events,1/36,0.4432884927178656,0.8600645684078896,2.578325349244141,2.0975566129935403,UVRAG,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Elevation of Cytosolic Ca2+ Levels,2/16,0.026763237006841033,0.34274209973277064,10.578591072561878,38.30218065649641,STIM1;ORAI1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,1/114,0.8442568057378386,0.9999989353154966,0.8022376342445966,0.13581767502506337,PNPLA2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes,1/82,0.7371437825058884,0.953356950961012,1.1196256544175527,0.3414548268936075,PNPLA2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Epigenetic Regulation of Gene Expression,1/251,0.9836417575933049,0.9999989353154966,0.36014732246301695,0.005940095519164423,PNPLA2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes,1/82,0.7371437825058884,0.953356950961012,1.1196256544175527,0.3414548268936075,PNPLA2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Expression and Translocation of Olfactory Receptors,1/17,0.2414985835424031,0.7731849811801131,5.554341788557674,7.892117986112869,REEP1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Extracellular Matrix Organization,8/282,0.08677924735931779,0.6044098456429677,1.9139468368254842,4.67842824347374,COLGALT2;ITGA7;CAPN3;DMD;COL13A1;COL6A3;LAMA2;CAPN6,Module11,Reactome_Pathways_2024_Human
gs_ind_0,FCGR3A-mediated Phagocytosis,1/137,0.8931606208213938,0.9999989353154966,0.6660325417962892,0.0752542494538208,MYH2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,FGFR2 Alternative Splicing,1/26,0.3448371705238676,0.8352731996206848,3.591829399784354,3.8241594956115796,TIA1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,FLT3 Signaling in Disease,1/28,0.36582490292901465,0.8441052920180989,3.3301610812812443,3.3488115396932874,NOX4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,FOXO-mediated Transcription,1/66,0.6586564244823927,0.9338807161411068,1.3946145115903048,0.5823258069426549,MSTN,Module11,Reactome_Pathways_2024_Human
gs_ind_0,FOXO-mediated Transcription of Cell Cycle Genes,1/17,0.2414985835424031,0.7731849811801131,5.554341788557674,7.892117986112869,MSTN,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Factors Involved in Megakaryocyte Development and Platelet Production,1/148,0.9108005919656367,0.9999989353154966,0.6159066588422106,0.05754495664387463,MFN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Fatty Acid Metabolism,2/165,0.7481118023563627,0.9580657597918579,0.9288443618943985,0.26955327525642836,RPP14;HACD1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Fatty acyl-CoA Biosynthesis,2/35,0.1089342376247715,0.6434122784171518,4.572993926075146,10.138377395152755,RPP14;HACD1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Fcgamma Receptor (FCGR) Dependent Phagocytosis,1/163,0.9302728524258772,0.9999989353154966,0.5584897383675388,0.04036615614676183,MYH2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Formation of Annular Gap Junctions,1/11,0.16374229764191228,0.722285468487102,8.731742798952576,15.79975192380056,DNM2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Formation of the Cornified Envelope,1/80,0.7284129661214773,0.953356950961012,1.1479460477270107,0.36376932898867825,DSG2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,G Alpha (12 13) Signalling Events,3/80,0.13871794846882682,0.7176240941298376,2.7706034311452608,5.472807742653342,FGD4;PLEKHG5;ARHGEF10,Module11,Reactome_Pathways_2024_Human
gs_ind_0,GABA Receptor Activation,1/57,0.6046628383315927,0.8918771023149604,1.6177387668294794,0.8138589238272984,GABRA3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,GPCR Downstream Signalling,3/505,0.9890906323594563,0.9999989353154966,0.4151501220795407,0.004553910864815804,FGD4;PLEKHG5;ARHGEF10,Module11,Reactome_Pathways_2024_Human
gs_ind_0,GPCR Ligand Binding,1/342,0.9963802486183287,0.9999989353154966,0.2625502082879831,0.0009520906864551666,KEL,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Gap Junction Degradation,1/12,0.17723209402093465,0.7334976945470087,7.971929513858142,13.793790891949966,DNM2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Gap Junction Trafficking,1/38,0.46113401699589546,0.8628363075718869,2.440488798370672,1.8891007906293245,DNM2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Gap Junction Trafficking and Regulation,1/40,0.47840974958458543,0.8628363075718869,2.3166103792312254,1.7080083313194192,DNM2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Gene Expression (Transcription),5/1384,0.9999989353154966,0.9999989353154966,0.22512657615167977,2.396889045397756e-07,PNPLA2;ZKSCAN5;MSTN;ZNF697;COX6A1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation,1/35,0.4341462343205754,0.8600645684078896,2.6532365181971134,2.2137911850881333,HNRNPDL,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Generic Transcription Pathway,4/1054,0.9999757858211131,0.9999989353154966,0.2466954861945956,5.973600956512797e-06,ZNF697;ZKSCAN5;MSTN;COX6A1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion,1/41,0.4868396294612158,0.8628363075718869,2.259259259259259,1.6262611591944174,RAPGEF4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Gluconeogenesis,1/24,0.32315777514255384,0.8324689873678326,3.8980370065433116,4.40327954155897,ENO3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Glucose Metabolism,1/83,0.7414037884024264,0.953356950961012,1.105980374004814,0.3309202533105661,ENO3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Glycerophospholipid Biosynthesis,3/115,0.2833140075619448,0.8209902262926431,1.904166096281086,2.4015331935357556,PNPLA2;DDHD1;CHAT,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Glycogen Breakdown (Glycogenolysis),1/14,0.20356494840919853,0.7414246286096497,6.7899977370445805,10.808115840090045,GAA,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Glycogen Metabolism,1/25,0.334085332228262,0.8324689873678326,3.738684068332017,4.0989393018242835,GAA,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Glycogen Storage Diseases,1/15,0.21641488759010882,0.7603248705599399,6.321300653135754,9.675116891555307,GAA,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Glycolysis,1/73,0.6955177951591338,0.9521398782006073,1.2593721469204298,0.4572763664521871,ENO3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Golgi Associated Vesicle Biogenesis,1/56,0.598161538661132,0.8918771023149604,1.6469973028017835,0.8463827400856249,DNM2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Golgi-to-ER Retrograde Transport,1/129,0.8781876885974202,0.9999989353154966,0.7078779906012506,0.09194976901596792,BICD2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,HSF1 Activation,1/29,0.37606629161669675,0.8441052920180989,3.213098938793011,3.142378128754419,DNAJB6,Module11,Reactome_Pathways_2024_Human
gs_ind_0,HSF1-dependent Transactivation,3/36,0.019974040183682287,0.2734377225145472,6.42848386404732,25.156726299173936,HSPB8;DNAJB6;CRYAB,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Hedgehog 'Off' State,1/97,0.794303314313513,0.9762799250231103,0.944640840834503,0.21754122845768425,TULP3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Heme Biosynthesis,1/14,0.20356494840919853,0.7414246286096497,6.7899977370445805,10.808115840090045,FLVCR1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Hemostasis,7/649,0.9032115163321441,0.9999989353154966,0.7005596939148518,0.0713159369569015,ORAI1;STIM1;RAPGEF4;VCL;TTN;MFN2;ACTN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,High Laminar Flow Shear Stress Activates Signaling by PIEZO1 and PECAM1 CDH5 KDR in Endothelial Cell,2/69,0.30585997313509095,0.8314328998885879,2.2644096038779065,2.6824827618448674,VCL;TRPV4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Highly Calcium Permeable Nicotinic Acetylcholine Receptors,8/9,3.6128392289099655e-14,2.390495289795427e-12,356.73864430468205,11041.666551100592,CHRNA2;CHRNA6;CHRNB4;CHRNB3;CHRNA5;CHRNA1;CHRNA3;CHRNB2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors,8/11,6.441110698495606e-13,3.653029924718222e-11,152.86762503743637,4291.13261286297,CHRNA2;CHRNA6;CHRNB4;CHRNB3;CHRNA5;CHRNA1;CHRNA3;CHRNB2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Highly Sodium Permeable Postsynaptic Acetylcholine Nicotinic Receptors,5/7,2.1379288855603615e-08,1.0609472094593294e-06,136.76894409937887,2415.45487555292,CHRND;CHRNB4;CHRNE;CHRNA3;CHRNB2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,IRE1alpha Activates Chaperones,1/46,0.5269965557502128,0.8717401359701435,2.0103175846556702,1.2877315771704672,GFPT1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Induction of Cell-Cell Fusion,1/13,0.1905051548689148,0.7414246286096497,7.333686354378819,12.159809519814274,ANO5,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Infection With Mycobacterium Tuberculosis,1/30,0.3861429520855973,0.8564176088155425,3.103973212744658,2.953578372441838,RAB7A,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Infectious Disease,7/1023,0.9978656141839976,0.9999989353154966,0.43128155784462424,0.0009215050135902786,SMN1;SYT2;ANO5;UVRAG;MYH2;RAB7A;SIGMAR1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Initiation of Nuclear Envelope (NE) Reformation,1/19,0.26578247380740616,0.7874301649368675,4.953211867672152,6.563387480572783,TMPO,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Innate Immune System,7/1009,0.9974919651015888,0.9999989353154966,0.43774176250396973,0.0010992506733135709,CHRNB4;VCL;RAB7A;MYH2;GAA;DNM2;TRIM32,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Integration of Energy Metabolism,1/107,0.8253477023467212,0.9999989353154966,0.8553684633257795,0.16418842478755766,RAPGEF4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Integrin Cell Surface Interactions,3/83,0.14999579020778003,0.7176240941298376,2.666815462905098,5.059343756656831,COL13A1;ITGA7;COL6A3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Integrin Signaling,1/27,0.35541610429814574,0.8398821036093087,3.4560581024478347,3.5751747776983,RAPGEF4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Interaction Between L1 and Ankyrins,2/30,0.0838431380185818,0.5943879605960174,5.377067412908549,13.328715732578376,NRCAM;SCN4A,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Interferon Gamma Signaling,1/91,0.7730989963834194,0.9609839843259957,1.0076740444014358,0.25932307211786615,TRIM2,Module11,Reactome_Pathways_2024_Human
