Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	Positive Regulation Of Long-Term Synaptic Potentiation (GO:1900273)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SLC18A3
gs_ind_0	Positive Regulation Of Neurotransmitter Secretion (GO:0001956)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SLC18A3
gs_ind_0	Positive Regulation Of Synaptic Transmission (GO:0050806)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SLC18A3
gs_ind_0	Postsynapse Organization (GO:0099173)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	CHRNB1
gs_ind_0	Postsynaptic Membrane Organization (GO:0001941)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	CHRNB1
gs_ind_0	Presynaptic Endocytosis (GO:0140238)	1/2	1.031027e-01	1.615276e-01	1.860000e+01	4.225975e+01	SYT2
gs_ind_0	Protein Glycosylation (GO:0006486)	1/3	1.508882e-01	2.055579e-01	1.111200e+01	2.101519e+01	GFPT1
gs_ind_0	Protein N-linked Glycosylation (GO:0006487)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	GFPT1
gs_ind_0	Quaternary Ammonium Group Transport (GO:0015697)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SLC5A7
gs_ind_0	Regulation Of Blood Circulation (GO:1903522)	1/8	3.564986e-01	3.765266e-01	3.624000e+00	3.737884e+00	DES
gs_ind_0	Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SYT2
gs_ind_0	Regulation Of Catecholamine Secretion (GO:0050433)	1/2	1.031027e-01	1.615276e-01	1.860000e+01	4.225975e+01	SYT2
gs_ind_0	Regulation Of Dendrite Extension (GO:1903859)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SYT2
gs_ind_0	Regulation Of Dopamine Secretion (GO:0014059)	1/2	1.031027e-01	1.615276e-01	1.860000e+01	4.225975e+01	SYT2
gs_ind_0	Regulation Of Heart Contraction (GO:0008016)	1/8	3.564986e-01	3.765266e-01	3.624000e+00	3.737884e+00	DES
gs_ind_0	Regulation Of Long-Term Synaptic Potentiation (GO:1900271)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SLC18A3
gs_ind_0	Regulation Of Regulated Secretory Pathway (GO:1903305)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SYT2
gs_ind_0	Regulation Of Skeletal Muscle Contraction (GO:0014819)	1/4	1.963139e-01	2.562988e-01	7.902857e+00	1.286617e+01	SCN4A
gs_ind_0	Response To Calcium Ion (GO:0051592)	1/6	2.805107e-01	3.139048e-01	4.985455e+00	6.337228e+00	SYT2
gs_ind_0	Serotonin Transport (GO:0006837)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SLC18A3
gs_ind_0	Serotonin Uptake (GO:0051610)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SLC18A3
gs_ind_0	Skeletal Muscle Contraction (GO:0003009)	1/8	3.564986e-01	3.765266e-01	3.624000e+00	3.737884e+00	CHRNA1
gs_ind_0	Skeletal Muscle Organ Development (GO:0060538)	1/5	2.394872e-01	2.886127e-01	6.120000e+00	8.747043e+00	DES
gs_ind_0	Skeletal System Development (GO:0001501)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	COL13A1
gs_ind_0	Sodium Ion Transmembrane Transport (GO:0035725)	1/2	1.031027e-01	1.615276e-01	1.860000e+01	4.225975e+01	SCN4A
gs_ind_0	Sodium Ion Transport (GO:0006814)	1/2	1.031027e-01	1.615276e-01	1.860000e+01	4.225975e+01	SCN4A
gs_ind_0	Striated Muscle Contraction (GO:0006941)	1/21	6.959889e-01	6.959889e-01	1.249756e+00	4.529385e-01	CHRNA1
gs_ind_0	Supramolecular Fiber Organization (GO:0097435)	1/18	6.371504e-01	6.440014e-01	1.484571e+00	6.691700e-01	DES
gs_ind_0	Synapse Organization (GO:0050808)	1/5	2.394872e-01	2.886127e-01	6.120000e+00	8.747043e+00	CHRNA1
gs_ind_0	Synaptic Transmission, Cholinergic (GO:0007271)	4/8	2.977675e-04	9.330047e-03	2.415789e+01	1.961427e+02	CHRNB1;CHRNE;SLC5A7;COLQ
gs_ind_0	Synaptic Vesicle Endocytosis (GO:0048488)	1/2	1.031027e-01	1.615276e-01	1.860000e+01	4.225975e+01	SYT2
gs_ind_0	Synaptic Vesicle Exocytosis (GO:0016079)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	SYT2
gs_ind_0	Synaptic Vesicle Recycling (GO:0036465)	1/2	1.031027e-01	1.615276e-01	1.860000e+01	4.225975e+01	SYT2
gs_ind_0	UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	GFPT1
gs_ind_0	UDP-N-acetylglucosamine Metabolic Process (GO:0006047)	1/1	5.284553e-02	1.034892e-01	5.604000e+01	1.647790e+02	GFPT1
